District,Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Belize,Philip Goldson Airport,138.6,63.4,40.2,56.8,129.2,231.7,176.6,191.1,225.2,299.4,231.1,147.9
Cayo,Belmopan (BAHA),132.5,50.3,47.5,40.6,116.9,254.7,240.4,221.6,217.4,239.3,197.9,132.2
Corozal,Libertad,59.1,34.7,28.0,43.9,100.3,196.2,128.3,149.4,184.6,199.0,111.6,68.7
Orange Walk,Orange Walk Town,70.7,38.0,32.7,54.6,122.5,223.7,162.1,174.4,205.9,226.3,139.2,81.8
Stann Creek,Savannah Forest,125.1,72.6,59.8,47.6,125.6,295.1,270.1,285.2,346.2,321.1,232.3,143.6
Toledo,Punta Gorda,167.2,92.8,71.9,80.4,201.0,438.1,695.6,617.1,518.2,354.2,259.5,174.9
