District,Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Belize,Philip Goldson Airport,140.0,64.1,40.6,57.4,130.5,234.1,178.4,193.0,227.6,302.5,233.5,149.4
Cayo,Belmopan (BAHA),133.9,50.8,48.0,41.0,118.1,257.3,242.9,223.9,219.7,241.8,200.0,133.6
Corozal,Libertad,59.7,35.1,28.3,44.4,101.3,198.2,129.6,150.9,186.5,201.1,112.8,69.4
Orange Walk,Orange Walk Town,71.4,38.4,33.1,55.2,126.3,226.0,163.8,176.2,208.0,228.6,140.6,82.7
Stann Creek,Savannah Forest,126.4,73.4,60.4,48.1,126.9,298.1,272.8,288.1,349.8,324.4,234.7,145.0
Toledo,Punta Gorda,168.9,93.7,72.6,81.2,203.1,442.6,702.4,623.4,523.6,357.8,262.2,176.7
